Quarter-Year,Date,Year,Agriculture,Industry,Services,Real GDP growth,Total GDP,Agriculture,Industry,Services,GDP value (2010),GDP at constant prices (2010),Agriculture,Industry,Services,Current GDP value,Agriculture,GDP - Current prices,Industry,Services
Q3-2020,9/30/2020,2020,"1,386.00","3,259.00","4,392.00",,262,293,295,275,,"983,730","128,735","355,168","392,479",,"220,863","1,593,586","519,397","699,839"
Q4-2020,12/31/2020,2020,"1,646.00","3,481.00","3,945.00",,448,469,56,429,,"1,268,385","164,726","473,978","496,223",,"349,207","2,121,415","738,351","836,983"
Q1-2021,3/31/2021,2021,"1,171.00","3,645.00",422,,448,316,63,334,,"1,189,216","125,510","434,967","508,697",,"224,182","1,915,368","698,219","808,319"
Q2-2021,6/30/2021,2021,"1,261.00","3,841.00","4,014.00",,661,411,"1,028.00",43,,"1,248,813","137,147","478,718","515,232",,"258,553","2,050,431","787,580","823,138"
Q3-2021,9/30/2021,2021,"1,423.00","3,879.00","3,823.00",,-617,104,-502,-928,,"1,201,066","156,017","450,933","481,371",,"282,757","1,986,949","770,816","759,537"
Q4-2021,12/31/2021,2021,"1,144.00",383,"4,196.00",,522,316,561,542,,"1,467,490","157,234","547,529","634,633",,"274,540","2,399,005","918,865","1,006,580"
Q1-2022,3/31/2022,2022,"1,094.00","3,797.00",417,,503,245,638,458,,"1,255,312","130,990","462,710","535,754",,"233,213","2,132,796","809,861","889,376"
Q2-2022,6/30/2022,2022,"1,118.00","4,043.00","3,968.00",,772,302,887,856,,"1,346,821","141,144","521,538","558,903",,"256,159","2,292,012","926,735","909,571"
Q3-2022,9/30/2022,2022,"1,138.00","3,999.00","4,029.00",,"1,367.00",324,"1,291.00","1,886.00",,"1,376,321","148,123","516,567","587,647",,"270,101","2,373,152","948,921","956,208"
Q4-2022,12/31/2022,2022,"1,295.00","3,778.00",413,,592,385,422,812,,"1,538,951","178,958","562,396","666,854",,"345,510","2,669,131","1,008,490","1,102,360"
Q1-2023,3/31/2023,2023,"1,166.00","3,547.00","4,365.00",,332,252,-4,679,,"1,320,755","140,836","459,243","590,817",,"268,224","2,300,882","816,185","1,004,341"
Q2-2023,6/30/2023,2023,"1,097.00","3,764.00","4,294.00",,414,325,25,611,,"1,407,473","143,521","512,383","623,253",,"268,127","2,444,649","920,250","1,049,810"
Q3-2023,9/30/2023,2023,"1,176.00","3,812.00","4,192.00",,533,372,519,624,,"1,450,322","154,316","539,924","626,848",,"298,813","2,540,588","968,434","1,065,001"
Q4-2023,12/31/2023,2023,"1,238.00","3,746.00","4,235.00",,672,413,735,729,,"1,643,902","184,545","605,975","716,362",,"361,551","2,921,187","1,094,325","1,237,147"
Unit,,,%,%,%,,%,%,%,%,,Billion Dong,Billion Dong,Billion Dong,Billion Dong,,Billion Dong,Billion Dong,Billion Dong,Billion Dong
